#             R [au]           V(R) [au]
   1.853951317106E-1   -1.104500000000E1
   1.860620206736E-1   -1.104500000000E1
   1.867289096365E-1   -1.104500000000E1
   1.873957985995E-1   -1.104500000000E1
   1.880626875625E-1   -1.104500000000E1
   1.887295765255E-1   -1.104500000000E1
   1.893964654885E-1   -1.104500000000E1
   1.900633544515E-1   -1.104500000000E1
   1.907302434145E-1   -1.104500000000E1
   1.913971323775E-1   -1.104500000000E1
   1.920640213404E-1   -1.104500000000E1
   1.927309103034E-1   -1.104500000000E1
   1.933977992664E-1   -1.104500000000E1
   1.940646882294E-1   -1.104500000000E1
   1.947315771924E-1   -1.104500000000E1
   1.953984661554E-1   -1.104500000000E1
   1.960653551184E-1   -1.104500000000E1
   1.967322440814E-1   -1.104500000000E1
   1.973991330443E-1   -1.104500000000E1
   1.980660220073E-1   -1.104500000000E1
   1.987329109703E-1   -1.104500000000E1
   1.993997999333E-1   -1.104500000000E1
   2.000666888963E-1   -1.104500000000E1
   2.007335778593E-1   -1.104500000000E1
   2.014004668223E-1   -1.104500000000E1
   2.020673557853E-1   -1.104500000000E1
   2.027342447482E-1   -1.104500000000E1
   2.034011337112E-1   -1.104500000000E1
   2.040680226742E-1   -1.104500000000E1
   2.047349116372E-1   -1.104500000000E1
   2.054018006002E-1   -1.104500000000E1
   2.060686895632E-1   -1.104500000000E1
   2.067355785262E-1   -1.104500000000E1
   2.074024674892E-1   -1.104500000000E1
   2.080693564522E-1   -1.104500000000E1
   2.087362454151E-1   -1.104500000000E1
   2.094031343781E-1   -1.104500000000E1
   2.100700233411E-1   -1.104500000000E1
   2.107369123041E-1   -1.104500000000E1
   2.114038012671E-1   -1.104500000000E1
   2.120706902301E-1   -1.104500000000E1
   2.127375791931E-1   -1.104500000000E1
   2.134044681561E-1   -1.104500000000E1
   2.140713571190E-1   -1.104500000000E1
   2.147382460820E-1   -1.104500000000E1
   2.154051350450E-1   -1.104500000000E1
   2.160720240080E-1   -1.104500000000E1
   2.167389129710E-1   -1.104500000000E1
   2.174058019340E-1   -1.104500000000E1
   2.180726908970E-1   -1.104500000000E1
   2.187395798600E-1   -1.104500000000E1
   2.194064688229E-1   -1.104500000000E1
   2.200733577859E-1   -1.104500000000E1
   2.207402467489E-1   -1.104500000000E1
   2.214071357119E-1   -1.104500000000E1
   2.220740246749E-1   -1.104500000000E1
   2.227409136379E-1   -1.104500000000E1
   2.234078026009E-1   -1.104500000000E1
   2.240746915639E-1   -1.104500000000E1
   2.247415805268E-1   -1.104500000000E1
   2.254084694898E-1   -1.104500000000E1
   2.260753584528E-1   -1.104500000000E1
   2.267422474158E-1   -1.104500000000E1
   2.274091363788E-1   -1.104500000000E1
   2.280760253418E-1   -1.104500000000E1
   2.287429143048E-1   -1.104500000000E1
   2.294098032678E-1   -1.104500000000E1
   2.300766922307E-1   -1.104500000000E1
   2.307435811937E-1   -1.104500000000E1
   2.314104701567E-1   -1.104500000000E1
   2.320773591197E-1   -1.104500000000E1
   2.327442480827E-1   -1.104500000000E1
   2.334111370457E-1   -1.104500000000E1
   2.340780260087E-1   -1.104500000000E1
   2.347449149717E-1   -1.104500000000E1
   2.354118039346E-1   -1.104500000000E1
   2.360786928976E-1   -1.104500000000E1
   2.367455818606E-1   -1.104500000000E1
   2.374124708236E-1   -1.104500000000E1
   2.380793597866E-1   -1.104500000000E1
   2.387462487496E-1   -1.104500000000E1
   2.394131377126E-1   -1.104500000000E1
   2.400800266756E-1   -1.104500000000E1
   2.407469156385E-1   -1.104500000000E1
   2.414138046015E-1   -1.104500000000E1
   2.420806935645E-1   -1.104500000000E1
   2.427475825275E-1   -1.104500000000E1
   2.434144714905E-1   -1.104500000000E1
   2.440813604535E-1   -1.104500000000E1
   2.447482494165E-1   -1.104500000000E1
   2.454151383795E-1   -1.104500000000E1
   2.460820273424E-1   -1.104500000000E1
   2.467489163054E-1   -1.104500000000E1
   2.474158052684E-1   -1.104500000000E1
   2.480826942314E-1   -1.104500000000E1
   2.487495831944E-1   -1.104500000000E1
   2.494164721574E-1   -1.104500000000E1
   2.500833611204E-1   -1.104500000000E1
   2.507502500834E-1   -1.104500000000E1
   2.514171390463E-1   -1.104500000000E1
   2.520840280093E-1   -1.104500000000E1
   2.527509169723E-1   -1.104500000000E1
   2.534178059353E-1   -1.104500000000E1
   2.540846948983E-1   -1.104500000000E1
   2.547515838613E-1   -1.104500000000E1
   2.554184728243E-1   -1.104500000000E1
   2.560853617873E-1   -1.104500000000E1
   2.567522507503E-1   -1.104500000000E1
   2.574191397132E-1   -1.104500000000E1
   2.580860286762E-1   -1.104500000000E1
   2.587529176392E-1   -1.104500000000E1
   2.594198066022E-1   -1.104500000000E1
   2.600866955652E-1   -1.104500000000E1
   2.607535845282E-1   -1.104500000000E1
   2.614204734912E-1   -1.104500000000E1
   2.620873624542E-1   -1.104500000000E1
   2.627542514171E-1   -1.104500000000E1
   2.634211403801E-1   -1.104500000000E1
   2.640880293431E-1   -1.104500000000E1
   2.647549183061E-1   -1.104500000000E1
   2.654218072691E-1   -1.104500000000E1
   2.660886962321E-1   -1.104500000000E1
   2.667555851951E-1   -1.104500000000E1
   2.674224741581E-1   -1.104500000000E1
   2.680893631210E-1   -1.104500000000E1
   2.687562520840E-1   -1.104500000000E1
   2.694231410470E-1   -1.104500000000E1
   2.700900300100E-1   -1.104500000000E1
   2.707569189730E-1   -1.104500000000E1
   2.714238079360E-1   -1.104500000000E1
   2.720906968990E-1   -1.104500000000E1
   2.727575858620E-1   -1.104500000000E1
   2.734244748249E-1   -1.104500000000E1
   2.740913637879E-1   -1.104500000000E1
   2.747582527509E-1   -1.104500000000E1
   2.754251417139E-1   -1.104500000000E1
   2.760920306769E-1   -1.104500000000E1
   2.767589196399E-1   -1.104500000000E1
   2.774258086029E-1   -1.104500000000E1
   2.780926975659E-1   -1.104500000000E1
   2.787595865288E-1   -1.104500000000E1
   2.794264754918E-1   -1.104500000000E1
   2.800933644548E-1   -1.104500000000E1
   2.807602534178E-1   -1.104500000000E1
   2.814271423808E-1   -1.104500000000E1
   2.820940313438E-1   -1.104500000000E1
   2.827609203068E-1   -1.104500000000E1
   2.834278092698E-1   -1.104500000000E1
   2.840946982327E-1   -1.104500000000E1
   2.847615871957E-1   -1.104500000000E1
   2.854284761587E-1   -1.104500000000E1
   2.860953651217E-1   -1.104500000000E1
   2.867622540847E-1   -1.104500000000E1
   2.874291430477E-1   -1.104500000000E1
   2.880960320107E-1   -1.104500000000E1
   2.887629209737E-1   -1.104500000000E1
   2.894298099366E-1   -1.104500000000E1
   2.900966988996E-1   -1.104500000000E1
   2.907635878626E-1   -1.104500000000E1
   2.914304768256E-1   -1.104500000000E1
   2.920973657886E-1   -1.104500000000E1
   2.927642547516E-1   -1.104500000000E1
   2.934311437146E-1   -1.104500000000E1
   2.940980326776E-1   -1.104500000000E1
   2.947649216405E-1   -1.104500000000E1
   2.954318106035E-1   -1.104500000000E1
   2.960986995665E-1   -1.104500000000E1
   2.967655885295E-1   -1.104500000000E1
   2.974324774925E-1   -1.104500000000E1
   2.980993664555E-1   -1.104500000000E1
   2.987662554185E-1   -1.104500000000E1
   2.994331443815E-1   -1.104500000000E1
   3.001000333444E-1   -1.104500000000E1
   3.007669223074E-1   -1.104500000000E1
   3.014338112704E-1   -1.104500000000E1
   3.021007002334E-1   -1.104500000000E1
   3.027675891964E-1   -1.104500000000E1
   3.034344781594E-1   -1.104500000000E1
   3.041013671224E-1   -1.104500000000E1
   3.047682560854E-1   -1.104500000000E1
   3.054351450483E-1   -1.104500000000E1
   3.061020340113E-1   -1.104500000000E1
   3.067689229743E-1   -1.104500000000E1
