#             R [au]        psi_0 [a.u.]
   4.166805560185E-1   5.985480804376E-1
   4.200140004667E-1   6.024026808051E-1
   4.233474449148E-1   6.062365493039E-1
   4.266808893630E-1   6.100495814624E-1
   4.300143338111E-1   6.138416740730E-1
   4.333477782593E-1   6.176127251965E-1
   4.366812227074E-1   6.213626341659E-1
   4.400146671556E-1   6.250913015904E-1
   4.433481116037E-1   6.287986293591E-1
   4.466815560519E-1   6.324845206444E-1
   4.500150005000E-1   6.361488799059E-1
   4.533484449482E-1   6.397916128935E-1
   4.566818893963E-1   6.434126266508E-1
   4.600153338445E-1   6.470118295184E-1
   4.633487782926E-1   6.505891311365E-1
   4.666822227408E-1   6.541444424482E-1
   4.700156671889E-1   6.576776757024E-1
   4.733491116371E-1   6.611887444562E-1
   4.766825560852E-1   6.646775635777E-1
   4.800160005334E-1   6.681440492482E-1
   4.833494449815E-1   6.715881189649E-1
   4.866828894296E-1   6.750096915430E-1
   4.900163338778E-1   6.784086871178E-1
   4.933497783259E-1   6.817850271467E-1
   4.966832227741E-1   6.851386344110E-1
   5.000166672222E-1   6.884694330180E-1
   5.033501116704E-1   6.917773484023E-1
   5.066835561185E-1   6.950623073276E-1
   5.100170005667E-1   6.983242378881E-1
   5.133504450148E-1   7.015630695096E-1
   5.166838894630E-1   7.047787329510E-1
   5.200173339111E-1   7.079711603053E-1
   5.233507783593E-1   7.111402850006E-1
   5.266842228074E-1   7.142860418008E-1
   5.300176672556E-1   7.174083668066E-1
   5.333511117037E-1   7.205071974561E-1
   5.366845561519E-1   7.235824725251E-1
   5.400180006000E-1   7.266341321280E-1
   5.433514450482E-1   7.296621177175E-1
   5.466848894963E-1   7.326663720853E-1
   5.500183339445E-1   7.356468393619E-1
   5.533517783926E-1   7.386034650170E-1
   5.566852228408E-1   7.415361958585E-1
   5.600186672889E-1   7.444449800335E-1
   5.633521117371E-1   7.473297670266E-1
   5.666855561852E-1   7.501905076607E-1
   5.700190006334E-1   7.530271540955E-1
   5.733524450815E-1   7.558396598274E-1
   5.766858895297E-1   7.586279796882E-1
   5.800193339778E-1   7.613920698449E-1
   5.833527784259E-1   7.641318877982E-1
   5.866862228741E-1   7.668473923813E-1
