#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]      sigma_2 [au^2]      sigma_3 [au^2]    sigma_tot [au^2]
    2.125000000000E1   1.567157155065E-3   5.570201201858E-3   6.074675688735E-3   1.016221377229E-2   2.337424781795E-2
    2.130000000000E1   1.556996916408E-3   5.551503457540E-3   6.049601238825E-3   1.009808314197E-2   2.325618475475E-2
    2.135000000000E1   1.546959622993E-3   5.532746509958E-3   6.024930868476E-3   1.003427666555E-2   2.313891366698E-2
    2.140000000000E1   1.537044173504E-3   5.513931101493E-3   6.000658452091E-3   9.970797531311E-3   2.302243125840E-2
    2.145000000000E1   1.527249459023E-3   5.495058013416E-3   5.976777927036E-3   9.907648812591E-3   2.290673421207E-2
    2.150000000000E1   1.517574374814E-3   5.476128066900E-3   5.953283293345E-3   9.844833472836E-3   2.279181920789E-2
    2.155000000000E1   1.508017823024E-3   5.457142116165E-3   5.930168609654E-3   9.782354362595E-3   2.267768291144E-2
    2.160000000000E1   1.498578700794E-3   5.438101053629E-3   5.907427998765E-3   9.720214222664E-3   2.256432197585E-2
    2.165000000000E1   1.489255911755E-3   5.419005805163E-3   5.885055640657E-3   9.658415687041E-3   2.245173304462E-2
    2.170000000000E1   1.480048352545E-3   5.399857329850E-3   5.863045777717E-3   9.596961281653E-3   2.233991274176E-2
    2.175000000000E1   1.470954925887E-3   5.380656619046E-3   5.841392711367E-3   9.535853427993E-3   2.222885768429E-2
    2.180000000000E1   1.461974542219E-3   5.361404695230E-3   5.820090801322E-3   9.475094443964E-3   2.211856448274E-2
    2.185000000000E1   1.453106107916E-3   5.342102609937E-3   5.799134464304E-3   9.414686546782E-3   2.200902972894E-2
    2.190000000000E1   1.444348533498E-3   5.322751443654E-3   5.778518176900E-3   9.354631850701E-3   2.190025000475E-2
    2.195000000000E1   1.435700735374E-3   5.303352304730E-3   5.758236470811E-3   9.294932371541E-3   2.179222188246E-2
    2.200000000000E1   1.427161623487E-3   5.283906328773E-3   5.738283936958E-3   9.235590027943E-3   2.168494191716E-2
    2.205000000000E1   1.418730120063E-3   5.264414676139E-3   5.718655221330E-3   9.176606641577E-3   2.157840665911E-2
    2.210000000000E1   1.410405147276E-3   5.244878531092E-3   5.699345024414E-3   9.117983941466E-3   2.147261264425E-2
    2.215000000000E1   1.402185630961E-3   5.225299102289E-3   5.680348103079E-3   9.059723561048E-3   2.136755639738E-2
    2.220000000000E1   1.394070503126E-3   5.205677621331E-3   5.661659268840E-3   9.001827042651E-3   2.126323443595E-2
    2.225000000000E1   1.386058692032E-3   5.186015339364E-3   5.643273386440E-3   8.944295837612E-3   2.115964325545E-2
    2.230000000000E1   1.378149133495E-3   5.166313530033E-3   5.625185376607E-3   8.887131309333E-3   2.105677934947E-2
    2.235000000000E1   1.370340771867E-3   5.146573485441E-3   5.607390210636E-3   8.830334734028E-3   2.095463920197E-2
    2.240000000000E1   1.362632550830E-3   5.126796515823E-3   5.589882914351E-3   8.773907301317E-3   2.085321928232E-2
    2.245000000000E1   1.355023419001E-3   5.106983949398E-3   5.572658563295E-3   8.717850116670E-3   2.075251604836E-2
    2.250000000000E1   1.347512331440E-3   5.087137131001E-3   5.555712287359E-3   8.662164200828E-3   2.065252595063E-2
    2.255000000000E1   1.340098244112E-3   5.067257422070E-3   5.539039266785E-3   8.606850494679E-3   2.055324542765E-2
    2.260000000000E1   1.332780118111E-3   5.047346197378E-3   5.522634732663E-3   8.551909858456E-3   2.045467090661E-2
    2.265000000000E1   1.325556921932E-3   5.027404845692E-3   5.506493965528E-3   8.497343073910E-3   2.035679880706E-2
    2.270000000000E1   1.318427627306E-3   5.007434769138E-3   5.490612296737E-3   8.443150843537E-3   2.025962553672E-2
    2.275000000000E1   1.311391213759E-3   4.987437382659E-3   5.474985105624E-3   8.389333795627E-3   2.016314749767E-2
    2.280000000000E1   1.304446658575E-3   4.967414111719E-3   5.459607821823E-3   8.335892480729E-3   2.006736107285E-2
    2.285000000000E1   1.297592947802E-3   4.947366392490E-3   5.444475923202E-3   8.282827381830E-3   1.997226264532E-2
    2.290000000000E1   1.290829076914E-3   4.927295669939E-3   5.429584936122E-3   8.230138903428E-3   1.987784858640E-2
    2.295000000000E1   1.284154041988E-3   4.907203399257E-3   5.414930432520E-3   8.177827384105E-3   1.978411525787E-2
    2.300000000000E1   1.277566845587E-3   4.887091042192E-3   5.400508032571E-3   8.125893090635E-3   1.969105901098E-2
    2.305000000000E1   1.271066496910E-3   4.866960068358E-3   5.386313402710E-3   8.074336223348E-3   1.959867619133E-2
    2.310000000000E1   1.264652007907E-3   4.846811954442E-3   5.372342258076E-3   8.023156913763E-3   1.950696313419E-2
    2.315000000000E1   1.258322396354E-3   4.826648181705E-3   5.358590356867E-3   7.972355230203E-3   1.941591616513E-2
    2.320000000000E1   1.252076688115E-3   4.806470236845E-3   5.345053503027E-3   7.921931177733E-3   1.932553160572E-2
    2.325000000000E1   1.245913913273E-3   4.786279610449E-3   5.331727547276E-3   7.871884696916E-3   1.923580576791E-2
    2.330000000000E1   1.239833110683E-3   4.766077797198E-3   5.318608382359E-3   7.822215665996E-3   1.914673495624E-2
    2.335000000000E1   1.233833316177E-3   4.745866294207E-3   5.305691947564E-3   7.772923904689E-3   1.905831546264E-2
    2.340000000000E1   1.227913580423E-3   4.725646600367E-3   5.292974225838E-3   7.724009175322E-3   1.897054358195E-2
    2.345000000000E1   1.222072956495E-3   4.705420217056E-3   5.280451243296E-3   7.675471178004E-3   1.888341559485E-2
    2.350000000000E1   1.216310503674E-3   4.685188644996E-3   5.268119067112E-3   7.627309561380E-3   1.879692777716E-2
    2.355000000000E1   1.210625287298E-3   4.664953385729E-3   5.255973810689E-3   7.579523916831E-3   1.871107640055E-2
    2.360000000000E1   1.205016379582E-3   4.644715940062E-3   5.244011627588E-3   7.532113780752E-3   1.862585772798E-2
    2.365000000000E1   1.199482856421E-3   4.624477808844E-3   5.232228713436E-3   7.485078638580E-3   1.854126801728E-2
    2.370000000000E1   1.194023799857E-3   4.604240488942E-3   5.220621308465E-3   7.438417921606E-3   1.845730351887E-2
    2.375000000000E1   1.188638300403E-3   4.584005477374E-3   5.209185689856E-3   7.392131015534E-3   1.837396048317E-2
    2.380000000000E1   1.183325453369E-3   4.563774265729E-3   5.197918178431E-3   7.346217251447E-3   1.829123514898E-2
    2.385000000000E1   1.178084361467E-3   4.543548344307E-3   5.186815135636E-3   7.300675915380E-3   1.820912375679E-2
    2.390000000000E1   1.172914130920E-3   4.523329198104E-3   5.175872962026E-3   7.255506245721E-3   1.812762253677E-2
    2.395000000000E1   1.167813874381E-3   4.503118308410E-3   5.165088100000E-3   7.210707435521E-3   1.804672771831E-2
    2.400000000000E1   1.162782712937E-3   4.482917150930E-3   5.154457031309E-3   7.166278631506E-3   1.796643552668E-2
    2.405000000000E1   1.157819772592E-3   4.462727195127E-3   5.143976275350E-3   7.122218940192E-3   1.788674218326E-2
