#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   1.640054668489E-1   5.573576949633E-2   1.871577652198E-1
   1.646721557385E-1   5.639388643951E-2   1.892462968609E-1
   1.653388446282E-1   5.705686618382E-2   1.913478412578E-1
   1.660055335178E-1   5.772472073617E-2   1.934623914605E-1
   1.666722224074E-1   5.839746201600E-2   1.955899399071E-1
   1.673389112970E-1   5.907510185496E-2   1.977304784237E-1
   1.680056001867E-1   5.975765199673E-2   1.998839982234E-1
   1.686722890763E-1   6.044512409677E-2   2.020504899067E-1
   1.693389779659E-1   6.113752972205E-2   2.042299434607E-1
   1.700056668556E-1   6.183488035085E-2   2.064223482591E-1
   1.706723557452E-1   6.253718737247E-2   2.086276930620E-1
   1.713390446348E-1   6.324446208708E-2   2.108459660151E-1
   1.720057335245E-1   6.395671570540E-2   2.130771546504E-1
   1.726724224141E-1   6.467395934851E-2   2.153212458852E-1
   1.733391113037E-1   6.539620404762E-2   2.175782260225E-1
   1.740058001933E-1   6.612346074383E-2   2.198480807503E-1
   1.746724890830E-1   6.685574028790E-2   2.221307951420E-1
   1.753391779726E-1   6.759305344002E-2   2.244263536561E-1
   1.760058668622E-1   6.833541086960E-2   2.267347401359E-1
   1.766725557519E-1   6.908282315504E-2   2.290559378100E-1
   1.773392446415E-1   6.983530078347E-2   2.313899292916E-1
   1.780059335311E-1   7.059285415059E-2   2.337366965789E-1
   1.786726224207E-1   7.135549356041E-2   2.360962210550E-1
   1.793393113104E-1   7.212322922502E-2   2.384684834879E-1
   1.800060002000E-1   7.289607126441E-2   2.408534640307E-1
   1.806726890896E-1   7.367402970623E-2   2.432511422214E-1
   1.813393779793E-1   7.445711448555E-2   2.456614969833E-1
   1.820060668689E-1   7.524533544472E-2   2.480845066249E-1
   1.826727557585E-1   7.603870233305E-2   2.505201488402E-1
   1.833394446482E-1   7.683722480671E-2   2.529684007085E-1
   1.840061335378E-1   7.764091242843E-2   2.554292386953E-1
   1.846728224274E-1   7.844977466734E-2   2.579026386517E-1
   1.853395113170E-1   7.926382089876E-2   2.603885758151E-1
   1.860062002067E-1   8.008306040397E-2   2.628870248095E-1
   1.866728890963E-1   8.090750237001E-2   2.653979596453E-1
   1.873395779859E-1   8.173715588950E-2   2.679213537202E-1
   1.880062668756E-1   8.257202996042E-2   2.704571798191E-1
   1.886729557652E-1   8.341213348591E-2   2.730054101146E-1
   1.893396446548E-1   8.425747527405E-2   2.755660161672E-1
   1.900063335445E-1   8.510806403772E-2   2.781389689261E-1
   1.906730224341E-1   8.596390839434E-2   2.807242387289E-1
   1.913397113237E-1   8.682501686570E-2   2.833217953028E-1
   1.920064002133E-1   8.769139787778E-2   2.859316077645E-1
   1.926730891030E-1   8.856305976053E-2   2.885536446208E-1
   1.933397779926E-1   8.944001074770E-2   2.911878737694E-1
   1.940064668822E-1   9.032225897663E-2   2.938342624988E-1
   1.946731557719E-1   9.120981248810E-2   2.964927774895E-1
   1.953398446615E-1   9.210267922608E-2   2.991633848141E-1
   1.960065335511E-1   9.300086703760E-2   3.018460499381E-1
   1.966732224407E-1   9.390438367254E-2   3.045407377204E-1
   1.973399113304E-1   9.481323678346E-2   3.072474124139E-1
   1.980066002200E-1   9.572743392540E-2   3.099660376662E-1
