#             R [au]          psi [a.u.]
    1.425712856428E0   9.691825286349E-2
    1.430715357679E0   9.497458060052E-2
    1.435717858929E0   9.306988821755E-2
    1.440720360180E0   9.120339398244E-2
    1.445722861431E0   8.937433184054E-2
    1.450725362681E0   8.758195110020E-2
    1.455727863932E0   8.582551612474E-2
    1.460730365183E0   8.410430603048E-2
    1.465732866433E0   8.241761439090E-2
    1.470735367684E0   8.076474894669E-2
    1.475737868934E0   7.914503132163E-2
    1.480740370185E0   7.755779674418E-2
    1.485742871436E0   7.600239377462E-2
    1.490745372686E0   7.447818403771E-2
    1.495747873937E0   7.298454196066E-2
    1.500750375188E0   7.152085451642E-2
    1.505752876438E0   7.008652097202E-2
    1.510755377689E0   6.868095264204E-2
    1.515757878939E0   6.730357264704E-2
    1.520760380190E0   6.595381567674E-2
    1.525762881441E0   6.463112775800E-2
    1.530765382691E0   6.333496602751E-2
    1.535767883942E0   6.206479850894E-2
    1.540770385193E0   6.082010389462E-2
    1.545772886443E0   5.960037133158E-2
    1.550775387694E0   5.840510021188E-2
    1.555777888944E0   5.723379996715E-2
    1.560780390195E0   5.608598986726E-2
    1.565782891446E0   5.496119882300E-2
    1.570785392696E0   5.385896519275E-2
    1.575787893947E0   5.277883659298E-2
    1.580790395198E0   5.172036971263E-2
    1.585792896448E0   5.068313013112E-2
    1.590795397699E0   4.966669214007E-2
    1.595797898949E0   4.867063856860E-2
    1.600800400200E0   4.769456061206E-2
    1.605802901451E0   4.673805766429E-2
    1.610805402701E0   4.580073715321E-2
    1.615807903952E0   4.488221437966E-2
    1.620810405203E0   4.398211235952E-2
    1.625812906453E0   4.310006166903E-2
    1.630815407704E0   4.223570029309E-2
    1.635817908954E0   4.138867347677E-2
    1.640820410205E0   4.055863357963E-2
    1.645822911456E0   3.974523993309E-2
    1.650825412706E0   3.894815870061E-2
    1.655827913957E0   3.816706274063E-2
    1.660830415208E0   3.740163147236E-2
    1.665832916458E0   3.665155074417E-2
    1.670835417709E0   3.591651270467E-2
    1.675837918959E0   3.519621567636E-2
    1.680840420210E0   3.449036403180E-2
    1.685842921461E0   3.379866807229E-2
    1.690845422711E0   3.312084390898E-2
    1.695847923962E0   3.245661334631E-2
    1.700850425213E0   3.180570376791E-2
    1.705852926463E0   3.116784802463E-2
    1.710855427714E0   3.054278432494E-2
    1.715857928964E0   2.993025612750E-2
    1.720860430215E0   2.933001203580E-2
    1.725862931466E0   2.874180569508E-2
    1.730865432716E0   2.816539569111E-2
    1.735867933967E0   2.760054545122E-2
    1.740870435218E0   2.704702314710E-2
    1.745872936468E0   2.650460159972E-2
    1.750875437719E0   2.597305818609E-2
    1.755877938969E0   2.545217474784E-2
    1.760880440220E0   2.494173750173E-2
    1.765882941471E0   2.444153695189E-2
    1.770885442721E0   2.395136780382E-2
    1.775887943972E0   2.347102888020E-2
    1.780890445223E0   2.300032303821E-2
    1.785892946473E0   2.253905708874E-2
    1.790895447724E0   2.208704171699E-2
    1.795897948974E0   2.164409140487E-2
    1.800900450225E0   2.121002435478E-2
    1.805902951476E0   2.078466241502E-2
    1.810905452726E0   2.036783100672E-2
    1.815907953977E0   1.995935905211E-2
    1.820910455228E0   1.955907890436E-2
    1.825912956478E0   1.916682627875E-2
    1.830915457729E0   1.878244018525E-2
    1.835917958979E0   1.840576286245E-2
    1.840920460230E0   1.803663971281E-2
    1.845922961481E0   1.767491923920E-2
    1.850925462731E0   1.732045298274E-2
    1.855927963982E0   1.697309546184E-2
    1.860930465233E0   1.663270411252E-2
    1.865932966483E0   1.629913922989E-2
    1.870935467734E0   1.597226391079E-2
    1.875937968984E0   1.565194399763E-2
    1.880940470235E0   1.533804802334E-2
    1.885942971486E0   1.503044715735E-2
    1.890945472736E0   1.472901515278E-2
    1.895947973987E0   1.443362829460E-2
    1.900950475238E0   1.414416534886E-2
    1.905952976488E0   1.386050751291E-2
    1.910955477739E0   1.358253836667E-2
    1.915957978989E0   1.331014382484E-2
    1.920960480240E0   1.304321209006E-2
    1.925962981491E0   1.278163360706E-2
    1.930965482741E0   1.252530101765E-2
    1.935967983992E0   1.227410911670E-2
    1.940970485243E0   1.202795480894E-2
    1.945972986493E0   1.178673706665E-2
    1.950975487744E0   1.155035688820E-2
    1.955977988994E0   1.131871725740E-2
    1.960980490245E0   1.109172310371E-2
    1.965982991496E0   1.086928126321E-2
    1.970985492746E0   1.065130044035E-2
    1.975987993997E0   1.043769117048E-2
    1.980990495248E0   1.022836578318E-2
    1.985992996498E0   1.002323836620E-2
    1.990995497749E0   9.822224730255E-3
    1.995997998999E0   9.625242374457E-3
    2.001000500250E0   9.432210452453E-3
    2.006003001501E0   9.243049739241E-3
    2.011005502751E0   9.057682598660E-3
    2.016008004002E0   8.876032951523E-3
    2.021010505253E0   8.698026244393E-3
    2.026013006503E0   8.523589418983E-3
    2.031015507754E0   8.352650882174E-3
    2.036018009005E0   8.185140476628E-3
    2.041020510255E0   8.020989451998E-3
    2.046023011506E0   7.860130436706E-3
    2.051025512756E0   7.702497410298E-3
    2.056028014007E0   7.548025676340E-3
    2.061030515258E0   7.396651835873E-3
    2.066033016508E0   7.248313761388E-3
    2.071035517759E0   7.102950571328E-3
    2.076038019010E0   6.960502605101E-3
    2.081040520260E0   6.820911398593E-3
    2.086043021511E0   6.684119660176E-3
    2.091045522761E0   6.550071247188E-3
    2.096048024012E0   6.418711142900E-3
    2.101050525263E0   6.289985433925E-3
    2.106053026513E0   6.163841288099E-3
    2.111055527764E0   6.040226932794E-3
    2.116058029015E0   5.919091633669E-3
    2.121060530265E0   5.800385673848E-3
    2.126063031516E0   5.684060333516E-3
    2.131065532766E0   5.570067869920E-3
    2.136068034017E0   5.458361497780E-3
    2.141070535268E0   5.348895370079E-3
    2.146073036518E0   5.241624559255E-3
    2.151075537769E0   5.136505038755E-3
    2.156078039020E0   5.033493664969E-3
    2.161080540270E0   4.932548159521E-3
    2.166083041521E0   4.833627091919E-3
    2.171085542771E0   4.736689862547E-3
    2.176088044022E0   4.641696686008E-3
    2.181090545273E0   4.548608574789E-3
    2.186093046523E0   4.457387323264E-3
    2.191095547774E0   4.367995492008E-3
    2.196098049025E0   4.280396392440E-3
    2.201100550275E0   4.194554071755E-3
    2.206103051526E0   4.110433298177E-3
    2.211105552776E0   4.027999546490E-3
    2.216108054027E0   3.947218983877E-3
    2.221110555278E0   3.868058456029E-3
    2.226113056528E0   3.790485473537E-3
    2.231115557779E0   3.714468198561E-3
    2.236118059030E0   3.639975431761E-3
    2.241120560280E0   3.566976599492E-3
    2.246123061531E0   3.495441741256E-3
    2.251125562781E0   3.425341497406E-3
    2.256128064032E0   3.356647097094E-3
    2.261130565283E0   3.289330346467E-3
    2.266133066533E0   3.223363617092E-3
    2.271135567784E0   3.158719834617E-3
    2.276138069035E0   3.095372467659E-3
    2.281140570285E0   3.033295516918E-3
    2.286143071536E0   2.972463504501E-3
    2.291145572786E0   2.912851463470E-3
    2.296148074037E0   2.854434927591E-3
    2.301150575288E0   2.797189921297E-3
    2.306153076538E0   2.741092949843E-3
    2.311155577789E0   2.686120989666E-3
    2.316158079040E0   2.632251478936E-3
    2.321160580290E0   2.579462308293E-3
    2.326163081541E0   2.527731811778E-3
    2.331165582791E0   2.477038757935E-3
    2.336168084042E0   2.427362341101E-3
    2.341170585293E0   2.378682172865E-3
    2.346173086543E0   2.330978273700E-3
    2.351175587794E0   2.284231064766E-3
    2.356178089045E0   2.238421359869E-3
    2.361180590295E0   2.193530357592E-3
    2.366183091546E0   2.149539633574E-3
    2.371185592796E0   2.106431132951E-3
    2.376188094047E0   2.064187162945E-3
    2.381190595298E0   2.022790385603E-3
    2.386193096548E0   1.982223810679E-3
    2.391195597799E0   1.942470788663E-3
    2.396198099050E0   1.903515003948E-3
    2.401200600300E0   1.865340468130E-3
    2.406203101551E0   1.827931513452E-3
    2.411205602801E0   1.791272786366E-3
    2.416208104052E0   1.755349241241E-3
    2.421210605303E0   1.720146134176E-3
    2.426213106553E0   1.685649016962E-3
    2.431215607804E0   1.651843731141E-3
    2.436218109055E0   1.618716402200E-3
    2.441220610305E0   1.586253433877E-3
    2.446223111556E0   1.554441502581E-3
    2.451225612806E0   1.523267551919E-3
    2.456228114057E0   1.492718787344E-3
    2.461230615308E0   1.462782670899E-3
    2.466233116558E0   1.433446916073E-3
    2.471235617809E0   1.404699482758E-3
    2.476238119060E0   1.376528572308E-3
    2.481240620310E0   1.348922622694E-3
    2.486243121561E0   1.321870303764E-3
    2.491245622811E0   1.295360512587E-3
    2.496248124062E0   1.269382368899E-3
    2.501250625313E0   1.243925210638E-3
    2.506253126563E0   1.218978589566E-3
    2.511255627814E0   1.194532266983E-3
    2.516258129065E0   1.170576209523E-3
    2.521260630315E0   1.147100585036E-3
    2.526263131566E0   1.124095758555E-3
    2.531265632816E0   1.101552288339E-3
    2.536268134067E0   1.079460921999E-3
    2.541270635318E0   1.057812592700E-3
    2.546273136568E0   1.036598415441E-3
    2.551275637819E0   1.015809683408E-3
    2.556278139070E0   9.954378643981E-4
    2.561280640320E0   9.754745973212E-4
    2.566283141571E0   9.559116887666E-4
    2.571285642821E0   9.367411096403E-4
    2.576288144072E0   9.179549918700E-4
    2.581290645323E0   8.995456251755E-4
    2.586293146573E0   8.815054539047E-4
    2.591295647824E0   8.638270739320E-4
    2.596298149075E0   8.465032296200E-4
    2.601300650325E0   8.295268108412E-4
    2.606303151576E0   8.128908500600E-4
    2.611305652826E0   7.965885194731E-4
    2.616308154077E0   7.806131282073E-4
    2.621310655328E0   7.649581195729E-4
    2.626313156578E0   7.496170683734E-4
    2.631315657829E0   7.345836782679E-4
    2.636318159080E0   7.198517791870E-4
    2.641320660330E0   7.054153248008E-4
    2.646323161581E0   6.912683900370E-4
    2.651325662831E0   6.774051686490E-4
    2.656328164082E0   6.638199708334E-4
    2.661330665333E0   6.505072208942E-4
    2.666333166583E0   6.374614549548E-4
    2.671335667834E0   6.246773187153E-4
    2.676338169085E0   6.121495652548E-4
    2.681340670335E0   5.998730528785E-4
    2.686343171586E0   5.878427430067E-4
    2.691345672836E0   5.760536981074E-4
    2.696348174087E0   5.645010796696E-4
    2.701350675338E0   5.531801462174E-4
    2.706353176588E0   5.420862513642E-4
    2.711355677839E0   5.312148419054E-4
    2.716358179090E0   5.205614559499E-4
    2.721360680340E0   5.101217210887E-4
    2.726363181591E0   4.998913526006E-4
    2.731365682841E0   4.898661516933E-4
    2.736368184092E0   4.800420037801E-4
    2.741370685343E0   4.704148767918E-4
    2.746373186593E0   4.609808195209E-4
    2.751375687844E0   4.517359600008E-4
    2.756378189095E0   4.426765039159E-4
    2.761380690345E0   4.337987330450E-4
    2.766383191596E0   4.250990037348E-4
    2.771385692846E0   4.165737454046E-4
    2.776388194097E0   4.082194590808E-4
    2.781390695348E0   4.000327159610E-4
    2.786393196598E0   3.920101560064E-4
    2.791395697849E0   3.841484865631E-4
    2.796398199100E0   3.764444810107E-4
    2.801400700350E0   3.688949774376E-4
    2.806403201601E0   3.614968773439E-4
    2.811405702851E0   3.542471443691E-4
    2.816408204102E0   3.471428030464E-4
    2.821410705353E0   3.401809375810E-4
    2.826413206603E0   3.333586906541E-4
    2.831415707854E0   3.266732622492E-4
