#             R [au]        psi_0 [a.u.]
   2.693423114104E-1   3.271416028313E-8
   2.700090003000E-1   3.303859534071E-8
   2.706756891896E-1   3.336543254736E-8
   2.713423780793E-1   3.369468365669E-8
   2.720090669689E-1   3.402636045010E-8
   2.726757558585E-1   3.436047473673E-8
   2.733424447482E-1   3.469703835349E-8
   2.740091336378E-1   3.503606316502E-8
   2.746758225274E-1   3.537756106371E-8
   2.753425114170E-1   3.572154396965E-8
   2.760092003067E-1   3.606802383068E-8
   2.766758891963E-1   3.641701262231E-8
   2.773425780859E-1   3.676852234778E-8
   2.780092669756E-1   3.712256503799E-8
   2.786759558652E-1   3.747915275155E-8
   2.793426447548E-1   3.783829757471E-8
   2.800093336445E-1   3.820001162141E-8
   2.806760225341E-1   3.856430703322E-8
   2.813427114237E-1   3.893119597936E-8
   2.820094003133E-1   3.930069065669E-8
   2.826760892030E-1   3.967280328968E-8
   2.833427780926E-1   4.004754613044E-8
   2.840094669822E-1   4.042493145866E-8
   2.846761558719E-1   4.080497158164E-8
   2.853428447615E-1   4.118767883426E-8
   2.860095336511E-1   4.157306557899E-8
   2.866762225408E-1   4.196114420586E-8
   2.873429114304E-1   4.235192713245E-8
   2.880096003200E-1   4.274542680392E-8
   2.886762892096E-1   4.314165569293E-8
   2.893429780993E-1   4.354062629971E-8
   2.900096669889E-1   4.394235115198E-8
   2.906763558785E-1   4.434684280498E-8
   2.913430447682E-1   4.475411384148E-8
   2.920097336578E-1   4.516417687170E-8
   2.926764225474E-1   4.557704453336E-8
   2.933431114370E-1   4.599272949168E-8
   2.940098003267E-1   4.641124443930E-8
   2.946764892163E-1   4.683260209635E-8
   2.953431781059E-1   4.725681521038E-8
   2.960098669956E-1   4.768389655639E-8
   2.966765558852E-1   4.811385893681E-8
   2.973432447748E-1   4.854671518146E-8
   2.980099336645E-1   4.898247814759E-8
   2.986766225541E-1   4.942116071985E-8
   2.993433114437E-1   4.986277581026E-8
   3.000100003333E-1   5.030733635822E-8
   3.006766892230E-1   5.075485533049E-8
   3.013433781126E-1   5.120534572122E-8
   3.020100670022E-1   5.165882055187E-8
   3.026767558919E-1   5.211529287125E-8
   3.033434447815E-1   5.257477575551E-8
   3.040101336711E-1   5.303728230810E-8
   3.046768225608E-1   5.350282565978E-8
   3.053435114504E-1   5.397141896862E-8
   3.060102003400E-1   5.444307541996E-8
   3.066768892296E-1   5.491780822644E-8
   3.073435781193E-1   5.539563062794E-8
   3.080102670089E-1   5.587655589163E-8
   3.086769558985E-1   5.636059731190E-8
   3.093436447882E-1   5.684776821039E-8
   3.100103336778E-1   5.733808193596E-8
   3.106770225674E-1   5.783155186470E-8
   3.113437114570E-1   5.832819139989E-8
   3.120104003467E-1   5.882801397203E-8
   3.126770892363E-1   5.933103303878E-8
   3.133437781259E-1   5.983726208499E-8
   3.140104670156E-1   6.034671462269E-8
   3.146771559052E-1   6.085940419103E-8
   3.153438447948E-1   6.137534435635E-8
   3.160105336845E-1   6.189454871209E-8
   3.166772225741E-1   6.241703087883E-8
   3.173439114637E-1   6.294280450426E-8
   3.180106003533E-1   6.347188326318E-8
   3.186772892430E-1   6.400428085749E-8
   3.193439781326E-1   6.454001101615E-8
   3.200106670222E-1   6.507908749522E-8
   3.206773559119E-1   6.562152407781E-8
   3.213440448015E-1   6.616733457408E-8
   3.220107336911E-1   6.671653282123E-8
   3.226774225808E-1   6.726913268350E-8
   3.233441114704E-1   6.782514805216E-8
   3.240108003600E-1   6.838459284546E-8
   3.246774892496E-1   6.894748100868E-8
   3.253441781393E-1   6.951382651407E-8
   3.260108670289E-1   7.008364336086E-8
