#             R [au]        psi_0 [a.u.]
   1.546718223941E-1   2.897362613475E-2
   1.553385112837E-1   2.934055159391E-2
   1.560052001733E-1   2.971044058407E-2
   1.566718890630E-1   3.008330246088E-2
   1.573385779526E-1   3.045914653857E-2
   1.580052668422E-1   3.083798208982E-2
   1.586719557319E-1   3.121981834563E-2
   1.593386446215E-1   3.160466449516E-2
   1.600053335111E-1   3.199252968559E-2
   1.606720224007E-1   3.238342302201E-2
   1.613387112904E-1   3.277735356727E-2
   1.620054001800E-1   3.317433034184E-2
   1.626720890696E-1   3.357436232365E-2
   1.633387779593E-1   3.397745844802E-2
   1.640054668489E-1   3.438362760747E-2
   1.646721557385E-1   3.479287865158E-2
   1.653388446282E-1   3.520522038691E-2
   1.660055335178E-1   3.562066157681E-2
   1.666722224074E-1   3.603921094131E-2
   1.673389112970E-1   3.646087715702E-2
   1.680056001867E-1   3.688566885692E-2
   1.686722890763E-1   3.731359463030E-2
   1.693389779659E-1   3.774466302260E-2
   1.700056668556E-1   3.817888253528E-2
   1.706723557452E-1   3.861626162569E-2
   1.713390446348E-1   3.905680870695E-2
   1.720057335245E-1   3.950053214780E-2
   1.726724224141E-1   3.994744027251E-2
   1.733391113037E-1   4.039754136070E-2
   1.740058001933E-1   4.085084364725E-2
   1.746724890830E-1   4.130735532216E-2
   1.753391779726E-1   4.176708453043E-2
   1.760058668622E-1   4.223003937192E-2
   1.766725557519E-1   4.269622790126E-2
   1.773392446415E-1   4.316565812766E-2
   1.780059335311E-1   4.363833801485E-2
   1.786726224207E-1   4.411427548092E-2
   1.793393113104E-1   4.459347839821E-2
   1.800060002000E-1   4.507595459319E-2
   1.806726890896E-1   4.556171184631E-2
   1.813393779793E-1   4.605075789192E-2
   1.820060668689E-1   4.654310041813E-2
   1.826727557585E-1   4.703874706666E-2
   1.833394446482E-1   4.753770543277E-2
   1.840061335378E-1   4.803998306510E-2
   1.846728224274E-1   4.854558746558E-2
   1.853395113170E-1   4.905452608929E-2
   1.860062002067E-1   4.956680634436E-2
   1.866728890963E-1   5.008243559182E-2
   1.873395779859E-1   5.060142114551E-2
   1.880062668756E-1   5.112377027198E-2
   1.886729557652E-1   5.164949019033E-2
   1.893396446548E-1   5.217858807211E-2
   1.900063335445E-1   5.271107104123E-2
   1.906730224341E-1   5.324694617381E-2
   1.913397113237E-1   5.378622049808E-2
   1.920064002133E-1   5.432890099429E-2
   1.926730891030E-1   5.487499459453E-2
   1.933397779926E-1   5.542450818272E-2
   1.940064668822E-1   5.597744859439E-2
   1.946731557719E-1   5.653382261665E-2
   1.953398446615E-1   5.709363698803E-2
   1.960065335511E-1   5.765689839839E-2
   1.966732224407E-1   5.822361348882E-2
   1.973399113304E-1   5.879378885150E-2
   1.980066002200E-1   5.936743102963E-2
   1.986732891096E-1   5.994454651729E-2
   1.993399779993E-1   6.052514175934E-2
   2.000066668889E-1   6.110922315132E-2
   2.006733557785E-1   6.169679703934E-2
   2.013400446682E-1   6.228786971999E-2
   2.020067335578E-1   6.288244744019E-2
   2.026734224474E-1   6.348053639714E-2
   2.033401113370E-1   6.408214273818E-2
   2.040068002267E-1   6.468727256069E-2
   2.046734891163E-1   6.529593191200E-2
   2.053401780059E-1   6.590812678928E-2
   2.060068668956E-1   6.652386313944E-2
   2.066735557852E-1   6.714314685903E-2
   2.073402446748E-1   6.776598379413E-2
   2.080069335645E-1   6.839237974025E-2
   2.086736224541E-1   6.902234044225E-2
   2.093403113437E-1   6.965587159423E-2
   2.100070002333E-1   7.029297883940E-2
   2.106736891230E-1   7.093366777004E-2
   2.113403780126E-1   7.157794392737E-2
   2.120070669022E-1   7.222581280143E-2
   2.126737557919E-1   7.287727983105E-2
   2.133404446815E-1   7.353235040367E-2
   2.140071335711E-1   7.419102985534E-2
   2.146738224607E-1   7.485332347051E-2
   2.153405113504E-1   7.551923648207E-2
   2.160072002400E-1   7.618877407113E-2
   2.166738891296E-1   7.686194136702E-2
   2.173405780193E-1   7.753874344713E-2
   2.180072669089E-1   7.821918533689E-2
   2.186739557985E-1   7.890327200961E-2
   2.193406446882E-1   7.959100838642E-2
   2.200073335778E-1   8.028239933619E-2
   2.206740224674E-1   8.097744967542E-2
   2.213407113570E-1   8.167616416817E-2
   2.220074002467E-1   8.237854752595E-2
   2.226740891363E-1   8.308460440766E-2
   2.233407780259E-1   8.379433941948E-2
   2.240074669156E-1   8.450775711478E-2
   2.246741558052E-1   8.522486199407E-2
   2.253408446948E-1   8.594565850487E-2
   2.260075335845E-1   8.667015104166E-2
   2.266742224741E-1   8.739834394577E-2
   2.273409113637E-1   8.813024150532E-2
   2.280076002533E-1   8.886584795512E-2
   2.286742891430E-1   8.960516747660E-2
   2.293409780326E-1   9.034820419770E-2
   2.300076669222E-1   9.109496219284E-2
   2.306743558119E-1   9.184544548280E-2
   2.313410447015E-1   9.259965803465E-2
   2.320077335911E-1   9.335760376167E-2
   2.326744224807E-1   9.411928652327E-2
   2.333411113704E-1   9.488471012494E-2
   2.340078002600E-1   9.565387831811E-2
   2.346744891496E-1   9.642679480014E-2
   2.353411780393E-1   9.720346321420E-2
   2.360078669289E-1   9.798388714923E-2
   2.366745558185E-1   9.876807013982E-2
   2.373412447082E-1   9.955601566617E-2
   2.380079335978E-1   1.003477271540E-1
   2.386746224874E-1   1.011432079746E-1
   2.393413113770E-1   1.019424614443E-1
   2.400080002667E-1   1.027454908252E-1
   2.406746891563E-1   1.035522993243E-1
   2.413413780459E-1   1.043628900940E-1
   2.420080669356E-1   1.051772662315E-1
   2.426747558252E-1   1.059954307793E-1
   2.433414447148E-1   1.068173867248E-1
   2.440081336045E-1   1.076431370002E-1
   2.446748224941E-1   1.084726844827E-1
   2.453415113837E-1   1.093060319940E-1
   2.460082002733E-1   1.101431823007E-1
   2.466748891630E-1   1.109841381139E-1
   2.473415780526E-1   1.118289020894E-1
   2.480082669422E-1   1.126774768274E-1
   2.486749558319E-1   1.135298648726E-1
   2.493416447215E-1   1.143860687139E-1
   2.500083336111E-1   1.152460907847E-1
   2.506750225008E-1   1.161099334626E-1
   2.513417113904E-1   1.169775990693E-1
   2.520084002800E-1   1.178490898708E-1
   2.526750891696E-1   1.187244080768E-1
   2.533417780593E-1   1.196035558415E-1
   2.540084669489E-1   1.204865352627E-1
   2.546751558385E-1   1.213733483821E-1
   2.553418447282E-1   1.222639971855E-1
   2.560085336178E-1   1.231584836021E-1
   2.566752225074E-1   1.240568095052E-1
   2.573419113970E-1   1.249589767114E-1
   2.580086002867E-1   1.258649869812E-1
   2.586752891763E-1   1.267748420184E-1
   2.593419780659E-1   1.276885434706E-1
   2.600086669556E-1   1.286060929285E-1
   2.606753558452E-1   1.295274919265E-1
   2.613420447348E-1   1.304527419421E-1
   2.620087336245E-1   1.313818443963E-1
