#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   4.000000000000E-2    1.009673181626E2    1.709174092950E1    1.180590590921E2
   4.050000000000E-2    1.005696754935E2    1.737310562931E1    1.179427811229E2
   4.100000000000E-2    1.001734068078E2    1.765434254578E1    1.178277493536E2
   4.150000000000E-2    9.977850801939E1    1.793542176888E1    1.177139297883E2
   4.200000000000E-2    9.938497504444E1    1.821631425497E1    1.176012892994E2
   4.250000000000E-2    9.899280381803E1    1.849699180038E1    1.174897956184E2
   4.300000000000E-2    9.860199027927E1    1.877742701904E1    1.173794172983E2
   4.350000000000E-2    9.821253038020E1    1.905759331617E1    1.172701236964E2
   4.400000000000E-2    9.782442008680E1    1.933746486766E1    1.171618849545E2
   4.450000000000E-2    9.743765536979E1    1.961701659555E1    1.170546719653E2
   4.500000000000E-2    9.705223221465E1    1.989622413688E1    1.169484563515E2
   4.550000000000E-2    9.666814661722E1    2.017506384994E1    1.168432104672E2
   4.600000000000E-2    9.628539458132E1    2.045351275997E1    1.167389073413E2
   4.650000000000E-2    9.590397212687E1    2.073154856452E1    1.166355206914E2
   4.700000000000E-2    9.552387527569E1    2.100914960285E1    1.165330248785E2
   4.750000000000E-2    9.514510006598E1    2.128629483923E1    1.164313949052E2
   4.800000000000E-2    9.476764254638E1    2.156296385076E1    1.163306063971E2
   4.850000000000E-2    9.439149877604E1    2.183913679975E1    1.162306355758E2
   4.900000000000E-2    9.401666482157E1    2.211479442768E1    1.161314592492E2
   4.950000000000E-2    9.364313676053E1    2.238991803261E1    1.160330547931E2
   5.000000000000E-2    9.327091068593E1    2.266448945797E1    1.159354001439E2
   5.050000000000E-2    9.289998269325E1    2.293849107002E1    1.158384737633E2
   5.100000000000E-2    9.253034889466E1    2.321190575475E1    1.157422546494E2
   5.150000000000E-2    9.216200540957E1    2.348471689234E1    1.156467223019E2
   5.200000000000E-2    9.179494836947E1    2.375690835268E1    1.155518567221E2
   5.250000000000E-2    9.142917391401E1    2.402846447556E1    1.154576383896E2
   5.300000000000E-2    9.106467819382E1    2.429937006379E1    1.153640482576E2
   5.350000000000E-2    9.070145737142E1    2.456961035824E1    1.152710677297E2
   5.400000000000E-2    9.033950761651E1    2.483917104900E1    1.151786786655E2
   5.450000000000E-2    8.997882511215E1    2.510803823764E1    1.150868633498E2
   5.500000000000E-2    8.961940604821E1    2.537619844473E1    1.149956044929E2
   5.550000000000E-2    8.926124662717E1    2.564363858948E1    1.149048852167E2
   5.600000000000E-2    8.890434306084E1    2.591034598074E1    1.148146890416E2
   5.650000000000E-2    8.854869157096E1    2.617630831460E1    1.147249998856E2
   5.700000000000E-2    8.819428838993E1    2.644151364556E1    1.146358020355E2
   5.750000000000E-2    8.784112975850E1    2.670595039964E1    1.145470801581E2
   5.800000000000E-2    8.748921193019E1    2.696960734989E1    1.144588192801E2
   5.850000000000E-2    8.713853116597E1    2.723247361070E1    1.143710047767E2
   5.900000000000E-2    8.678908373725E1    2.749453863183E1    1.142836223691E2
   5.950000000000E-2    8.644086592627E1    2.775579218806E1    1.141966581143E2
   6.000000000000E-2    8.609387402344E1    2.801622436621E1    1.141100983896E2
   6.050000000000E-2    8.574810433143E1    2.827582556730E1    1.140239298987E2
   6.100000000000E-2    8.540355316250E1    2.853458649201E1    1.139381396545E2
   6.150000000000E-2    8.506021683621E1    2.879249812632E1    1.138527149625E2
