#             R [au]           V(R) [au]
    1.737245748583E0   -1.207728795309E0
    1.740580193398E0   -1.201930355614E0
    1.743914638213E0   -1.196126052977E0
    1.747249083028E0   -1.190315914736E0
    1.750583527843E0   -1.184499968672E0
    1.753917972658E0   -1.178678243017E0
    1.757252417472E0   -1.172850766461E0
    1.760586862287E0   -1.167017568152E0
    1.763921307102E0   -1.161178677704E0
    1.767255751917E0   -1.155334125204E0
    1.770590196732E0   -1.149483941215E0
    1.773924641547E0   -1.143628156783E0
    1.777259086362E0   -1.137766803440E0
    1.780593531177E0   -1.131899913211E0
    1.783927975992E0   -1.126027518618E0
    1.787262420807E0   -1.120149652687E0
    1.790596865622E0   -1.114266348951E0
    1.793931310437E0   -1.108377641457E0
    1.797265755252E0   -1.102483564769E0
    1.800600200067E0   -1.096584153974E0
    1.803934644882E0   -1.090679444690E0
    1.807269089697E0   -1.084769473064E0
    1.810603534512E0   -1.078854275785E0
    1.813937979326E0   -1.072933890083E0
    1.817272424141E0   -1.067008353736E0
    1.820606868956E0   -1.061077705076E0
    1.823941313771E0   -1.055141982992E0
    1.827275758586E0   -1.049201226935E0
    1.830610203401E0   -1.043255476925E0
    1.833944648216E0   -1.037304773552E0
    1.837279093031E0   -1.031349157984E0
    1.840613537846E0   -1.025388671969E0
    1.843947982661E0   -1.019423357842E0
    1.847282427476E0   -1.013453258529E0
    1.850616872291E0   -1.007478417548E0
    1.853951317106E0   -1.001498879019E0
    1.857285761921E0  -9.955146876662E-1
    1.860620206736E0  -9.895258888199E-1
    1.863954651551E0  -9.835325284242E-1
    1.867289096365E0  -9.775346530396E-1
    1.870623541180E0  -9.715323098477E-1
    1.873957985995E0  -9.655255466552E-1
    1.877292430810E0  -9.595144118981E-1
    1.880626875625E0  -9.534989546457E-1
    1.883961320440E0  -9.474792246048E-1
    1.887295765255E0  -9.414552721234E-1
    1.890630210070E0  -9.354271481949E-1
    1.893964654885E0  -9.293949044615E-1
    1.897299099700E0  -9.233585932184E-1
    1.900633544515E0  -9.173182674176E-1
    1.903967989330E0  -9.112739806710E-1
    1.907302434145E0  -9.052257872547E-1
    1.910636878960E0  -8.991737421120E-1
    1.913971323775E0  -8.931179008573E-1
    1.917305768590E0  -8.870583197793E-1
    1.920640213404E0  -8.809950558442E-1
    1.923974658219E0  -8.749281666995E-1
    1.927309103034E0  -8.688577106766E-1
    1.930643547849E0  -8.627837467946E-1
    1.933977992664E0  -8.567063347629E-1
    1.937312437479E0  -8.506255349842E-1
    1.940646882294E0  -8.445414085581E-1
    1.943981327109E0  -8.384540172830E-1
    1.947315771924E0  -8.323634236598E-1
    1.950650216739E0  -8.262696908942E-1
    1.953984661554E0  -8.201728828991E-1
    1.957319106369E0  -8.140730642980E-1
    1.960653551184E0  -8.079703004266E-1
    1.963987995999E0  -8.018646573358E-1
    1.967322440814E0  -7.957562017940E-1
    1.970656885629E0  -7.896450012891E-1
    1.973991330443E0  -7.835311240310E-1
    1.977325775258E0  -7.774146389534E-1
    1.980660220073E0  -7.712956157162E-1
    1.983994664888E0  -7.651741247072E-1
    1.987329109703E0  -7.590502370440E-1
    1.990663554518E0  -7.529240245760E-1
    1.993997999333E0  -7.467955598858E-1
    1.997332444148E0  -7.406649162908E-1
    2.000666888963E0  -7.345321678451E-1
    2.004001333778E0  -7.283973893405E-1
    2.007335778593E0  -7.222606563084E-1
    2.010670223408E0  -7.161220450203E-1
    2.014004668223E0  -7.099816324898E-1
    2.017339113038E0  -7.038394964729E-1
    2.020673557853E0  -6.976957154697E-1
    2.024008002668E0  -6.915503687249E-1
    2.027342447482E0  -6.854035362285E-1
    2.030676892297E0  -6.792552987170E-1
    2.034011337112E0  -6.731057376735E-1
    2.037345781927E0  -6.669549353285E-1
    2.040680226742E0  -6.608029746605E-1
    2.044014671557E0  -6.546499393957E-1
    2.047349116372E0  -6.484959140091E-1
    2.050683561187E0  -6.423409837238E-1
    2.054018006002E0  -6.361852345117E-1
    2.057352450817E0  -6.300287530931E-1
    2.060686895632E0  -6.238716269366E-1
    2.064021340447E0  -6.177139442588E-1
    2.067355785262E0  -6.115557940241E-1
    2.070690230077E0  -6.053972659441E-1
    2.074024674892E0  -5.992384504772E-1
    2.077359119707E0  -5.930794388275E-1
    2.080693564522E0  -5.869203229447E-1
    2.084028009336E0  -5.807611955227E-1
    2.087362454151E0  -5.746021499987E-1
    2.090696898966E0  -5.684432805524E-1
    2.094031343781E0  -5.622846821045E-1
    2.097365788596E0  -5.561264503157E-1
    2.100700233411E0  -5.499686815848E-1
    2.104034678226E0  -5.438114730479E-1
    2.107369123041E0  -5.376549225762E-1
    2.110703567856E0  -5.314991287745E-1
    2.114038012671E0  -5.253441909794E-1
    2.117372457486E0  -5.191902092575E-1
    2.120706902301E0  -5.130372844028E-1
    2.124041347116E0  -5.068855179352E-1
    2.127375791931E0  -5.007350120978E-1
    2.130710236746E0  -4.945858698549E-1
    2.134044681561E0  -4.884381948890E-1
    2.137379126375E0  -4.822920915988E-1
    2.140713571190E0  -4.761476650958E-1
    2.144048016005E0  -4.700050212022E-1
    2.147382460820E0  -4.638642664475E-1
    2.150716905635E0  -4.577255080657E-1
    2.154051350450E0  -4.515888539917E-1
    2.157385795265E0  -4.454544128587E-1
    2.160720240080E0  -4.393222939944E-1
    2.164054684895E0  -4.331926074175E-1
    2.167389129710E0  -4.270654638343E-1
    2.170723574525E0  -4.209409746347E-1
    2.174058019340E0  -4.148192518888E-1
    2.177392464155E0  -4.087004083423E-1
    2.180726908970E0  -4.025845574132E-1
    2.184061353785E0  -3.964718131870E-1
    2.187395798600E0  -3.903622904127E-1
    2.190730243414E0  -3.842561044986E-1
    2.194064688229E0  -3.781533715071E-1
    2.197399133044E0  -3.720542081510E-1
    2.200733577859E0  -3.659587317879E-1
    2.204068022674E0  -3.598670604160E-1
    2.207402467489E0  -3.537793126686E-1
    2.210736912304E0  -3.476956078095E-1
    2.214071357119E0  -3.416160657275E-1
    2.217405801934E0  -3.355408069312E-1
    2.220740246749E0  -3.294699525434E-1
    2.224074691564E0  -3.234036242959E-1
    2.227409136379E0  -3.173419445235E-1
    2.230743581194E0  -3.112850361585E-1
    2.234078026009E0  -3.052330227247E-1
    2.237412470824E0  -2.991860283316E-1
    2.240746915639E0  -2.931441776678E-1
    2.244081360453E0  -2.871075959955E-1
    2.247415805268E0  -2.810764091435E-1
    2.250750250083E0  -2.750507435013E-1
